t,abs_zeta,abs_prod,ratio,delta,score,smooth_abs_zeta,smooth_score
38.714524,1.643258143103e+00,1.251315779642e+00,7.614846059906e-01,-3.919423634615e-01,-7.691662658639e-01,1.610015126453e+00,-9.405540896417e-01
38.781302,1.687682091463e+00,1.397365882687e+00,8.279793272415e-01,-2.903162087759e-01,-7.121231360035e-01,1.654969696810e+00,-9.319158367155e-01
38.848080,1.724672947521e+00,1.453386801868e+00,8.427028463324e-01,-2.712861456525e-01,-7.161783154430e-01,1.692806938087e+00,-9.427102040535e-01
38.914858,1.754539932765e+00,1.418030274748e+00,8.082063270645e-01,-3.365096580171e-01,-7.751445737598e-01,1.723614197415e+00,-9.804707878385e-01
38.981636,1.777607909664e+00,1.298307618553e+00,7.303678226760e-01,-4.793002911111e-01,-8.894755945826e-01,1.747503830881e+00,-1.042103865301e+00
39.048414,1.794150302409e+00,1.110382384853e+00,6.188903924947e-01,-6.837679175567e-01,-1.064358634610e+00,1.764582406156e+00,-1.115608352795e+00
39.115192,1.804336613997e+00,8.836944589006e-01,4.897614181551e-01,-9.206421550968e-01,-1.304029905536e+00,1.774926269857e+00,-1.183648080186e+00
39.181970,1.808203677547e+00,6.750312298820e-01,3.733159257799e-01,-1.133172447665e+00,-1.577664140959e+00,1.778567502413e+00,-1.228401770477e+00
39.248748,1.805655407156e+00,5.906379101464e-01,3.271044451813e-01,-1.215017497009e+00,-1.708399387194e+00,1.775492409354e+00,-1.236721204142e+00
39.315526,1.796490450028e+00,7.025799116495e-01,3.910846905079e-01,-1.093910538378e+00,-1.524666154368e+00,1.765652492302e+00,-1.204133094524e+00
39.382304,1.780451995635e+00,9.246784594127e-01,5.193504018528e-01,-8.557735362223e-01,-1.232043737749e+00,1.748985695486e+00,-1.136251696125e+00
39.449082,1.757290202406e+00,1.156646340868e+00,6.581988218475e-01,-6.006438615380e-01,-9.820211972707e-01,1.725444007986e+00,-1.047079547863e+00
39.515860,1.726825955926e+00,1.345531443845e+00,7.791934324515e-01,-3.812945120818e-01,-7.957809710833e-01,1.695022504218e+00,-9.548870999075e-01
39.582638,1.689005088167e+00,1.462829018676e+00,8.660891722139e-01,-2.261760694913e-01,-6.679070558502e-01,1.657784773312e+00,-8.771339254575e-01
39.649416,1.643934388060e+00,1.492737597035e+00,9.080274783937e-01,-1.511967910252e-01,-5.935730241889e-01,1.613880413115e+00,-8.257764500946e-01
39.716194,1.591894090896e+00,1.428780637934e+00,8.975349843342e-01,-1.631134529620e-01,-5.730277390101e-01,1.563551694161e+00,-8.037488006824e-01
39.782972,1.533325399539e+00,1.272927217291e+00,8.301742198194e-01,-2.603981822474e-01,-6.135585374209e-01,1.507128373625e+00,-8.031031699077e-01
39.849750,1.468795428168e+00,1.035719301332e+00,7.051487780188e-01,-4.330761268356e-01,-7.337890940316e-01,1.445011641221e+00,-8.054600317314e-01
39.916528,1.398945356735e+00,7.390103838679e-01,5.282625088321e-01,-6.599349728671e-01,-9.738805791262e-01,1.377649982140e+00,-7.854850677265e-01
39.983306,1.324430193885e+00,4.367832169152e-01,3.297895343460e-01,-8.876469769700e-01,-1.390282927288e+00,1.305511058171e+00,-7.173033365685e-01
40.050083,1.245860025957e+00,3.481490934438e-01,2.794447900970e-01,-8.977109325130e-01,-1.494776612194e+00,1.229054384284e+00,-5.820872083743e-01
40.116861,1.163752648134e+00,6.220297402270e-01,5.345033940198e-01,-5.417229079067e-01,-7.780670237647e-01,1.148711415056e+00,-3.738249666023e-01
40.183639,1.078505807069e+00,9.789189988897e-01,9.076622420330e-01,-9.958680817911e-02,-1.724595209490e-01,1.064874730410e+00,-1.002920640230e-01
40.250417,9.903939814869e-01,1.315529618875e+00,1.328289189419e+00,3.251356373881e-01,2.935442443854e-01,9.779078160761e-01,2.211400623066e-01
40.317195,8.995901531916e-01,1.595457514235e+00,1.773538214680e+00,6.958673610434e-01,6.787925473257e-01,8.881853319758e-01,5.708839929571e-01
40.383973,8.062082578810e-01,1.795811322751e+00,2.227478204542e+00,9.896030648705e-01,1.016283280981e+00,7.961849860824e-01,9.341179488376e-01
40.450751,7.103580463755e-01,1.900563458861e+00,2.675500712012e+00,1.190205412485e+00,1.326122690281e+00,7.026588786302e-01,1.304304876914e+00
40.517529,6.122018781101e-01,1.899948321796e+00,3.103466993048e+00,1.287746443686e+00,1.623213056089e+00,6.089035036656e-01,1.681814832057e+00
40.584307,5.120029743184e-01,1.790875598022e+00,3.497783583007e+00,1.278872623703e+00,1.921554350646e+00,5.171021529913e-01,2.068014122953e+00
40.651085,4.101567369496e-01,1.577349108285e+00,3.845722783968e+00,1.167192371336e+00,2.238177472610e+00,4.306239586599e-01,2.456893551356e+00
40.717863,3.072003264511e-01,1.270521887813e+00,4.135809041907e+00,9.633215613622e-01,2.599938181431e+00,3.540675361528e-01,2.828010800225e+00
40.784641,2.038005089817e-01,8.882045211450e-01,4.358205607939e+00,6.844040121632e-01,3.062674075575e+00,2.928238593216e-01,3.145404713253e+00
40.851419,1.007320532691e-01,4.538048075432e-01,4.505068573664e+00,3.530727542741e-01,3.800494337970e+00,2.520887259990e-01,3.365462636148e+00
40.918197,4.096540988697e-03,1.872466362868e-02,4.570847375944e+00,1.462812263998e-02,7.017310931797e+00,2.355586915701e-01,3.451897463906e+00
40.984975,1.015240635480e-01,4.621900134357e-01,4.552516884012e+00,3.606659498877e-01,3.803139670656e+00,2.443180873340e-01,3.390615808785e+00
41.051753,1.989817594977e-01,8.854152070220e-01,4.449730514278e+00,6.864334475242e-01,3.107385655029e+00,2.764401842331e-01,3.195905425131e+00
41.118531,2.932401334930e-01,1.250636317386e+00,4.264887969083e+00,9.573961838934e-01,2.677179350484e+00,3.275101880030e-01,2.904160816452e+00
41.185309,3.838097775971e-01,1.536435032419e+00,4.003115923825e+00,1.152625254822e+00,2.344681258800e+00,3.918187364092e-01,2.559066823432e+00
41.252087,4.703594427870e-01,1.727238029902e+00,3.672166162259e+00,1.256878587114e+00,2.055039827574e+00,4.636816105466e-01,2.196883446153e+00
41.318865,5.526864328647e-01,1.814052379919e+00,3.282245179272e+00,1.261365947055e+00,1.781492161564e+00,5.383864452520e-01,1.838962292635e+00
41.385643,6.306765020046e-01,1.794783839064e+00,2.845807372495e+00,1.164107337059e+00,1.506809036800e+00,6.125602186219e-01,1.493122839665e+00
41.452421,7.042507690064e-01,1.674276524976e+00,2.377386860845e+00,9.700257559696e-01,1.216622707134e+00,6.840565729228e-01,1.160605791109e+00
41.519199,7.733081415069e-01,1.464388692287e+00,1.893667755046e+00,6.910805507796e-01,8.955932388120e-01,7.516072059393e-01,8.437001850344e-01
41.585977,8.376739167856e-01,1.184834584995e+00,1.414434138694e+00,3.471606682098e-01,5.238559241384e-01,8.144552693504e-01,5.503142061405e-01
