t,abs_zeta,neglog,mollifier_score
31.538173,9.074814751217e-01,9.708212503851e-02,4.606667189646e-01
31.600125,9.194621388106e-01,8.396641054287e-02,4.471936327792e-01
31.662078,9.265447382809e-01,7.629294593801e-02,4.396585725212e-01
31.724030,9.284236609770e-01,7.426711807228e-02,4.381577141883e-01
31.785982,9.248509285690e-01,7.812271167968e-02,4.426492597765e-01
31.847935,9.156696057694e-01,8.809967067259e-02,4.529547402850e-01
31.909887,9.008353587833e-01,1.044327686113e-01,4.687609143212e-01
31.971840,8.804234611173e-01,1.273522803013e-01,4.896224267909e-01
32.033792,8.546204474749e-01,1.570978285194e-01,5.149655004656e-01
32.095745,8.237015245164e-01,1.939470410075e-01,5.440928749616e-01
32.157697,7.879966544030e-01,2.382614335457e-01,5.761896856665e-01
32.219650,7.478498160125e-01,2.905531005615e-01,6.103276373592e-01
32.281602,7.035771439854e-01,3.515777496119e-01,6.454504422544e-01
32.343554,6.554302046395e-01,4.224634564442e-01,6.799399193053e-01
32.405507,6.035703310546e-01,5.048927049622e-01,7.144484558481e-01
32.467459,5.480585424171e-01,6.013731666870e-01,7.470622646842e-01
32.529412,4.888631786091e-01,7.156726249579e-01,7.764907487465e-01
32.591364,4.258843643729e-01,8.535874123466e-01,8.015941499973e-01
32.653317,3.589914199150e-01,1.024456787952e+00,8.213413226758e-01
32.715269,2.880670908540e-01,1.244561868150e+00,8.348196214107e-01
32.777222,2.130516456622e-01,1.546220670072e+00,8.412547406197e-01
32.839174,1.339817470089e-01,2.010051697197e+00,8.400313278235e-01
32.901126,5.104484744981e-02,2.975050651318e+00,8.307106365020e-01
32.963079,3.584148761415e-02,3.328649156745e+00,8.130431296590e-01
33.025031,1.256418244618e-01,2.074320075113e+00,7.869747624841e-01
33.086984,2.183118575640e-01,1.521830694574e+00,7.526462700695e-01
33.148936,3.132480912945e-01,1.160759775266e+00,7.103853126638e-01
33.210889,4.099032997964e-01,8.918339988173e-01,6.606918138834e-01
33.272841,5.077675822764e-01,6.777314493301e-01,6.042172566848e-01
33.334793,6.064035969956e-01,5.002095113015e-01,5.417390572431e-01
33.396746,7.054750731428e-01,3.488838390819e-01,4.741313982676e-01
33.458698,8.047614567308e-01,2.172093712770e-01,4.023340568226e-01
33.520651,9.041554911226e-01,1.007539288207e-01,3.273208021264e-01
33.582603,1.003643110638e+00,-3.636491580183e-03,2.500688701627e-01
33.644556,1.103267761364e+00,-9.827646907320e-02,1.715308570365e-01
33.706508,1.203083951033e+00,-1.848882201216e-01,9.261013166795e-02
33.768461,1.303106962792e+00,-2.647513851744e-01,1.414057514443e-02
33.830413,1.403266714964e+00,-3.388028870903e-01,-6.312886451704e-02
33.892365,1.503373368643e+00,-4.077114961836e-01,-1.385446312137e-01
33.954318,1.603100480747e+00,-4.719395552229e-01,-2.115541559059e-01
34.016270,1.701988646979e+00,-5.317973603163e-01,-2.817069617313e-01
34.078223,1.799469297928e+00,-5.874917875013e-01,-3.486518481413e-01
34.140175,1.894905256584e+00,-6.391688412868e-01,-4.121308563535e-01
34.202128,1.987642332482e+00,-6.869491793125e-01,-4.719707889345e-01
