t,abs_zeta
22.481636,1.296453043521e+00
22.564274,1.334102898163e+00
22.646912,1.368017596051e+00
22.729549,1.397908353972e+00
22.812187,1.423165935042e+00
22.894825,1.442993485108e+00
22.977462,1.456592093457e+00
23.060100,1.463347681531e+00
23.142738,1.462970612172e+00
23.225376,1.455553569793e+00
23.308013,1.441533701639e+00
23.390651,1.421567652635e+00
23.473289,1.396349683984e+00
23.555927,1.366419539825e+00
23.638564,1.332012851918e+00
23.721202,1.292998086296e+00
23.803840,1.248920312481e+00
23.886477,1.199140347298e+00
23.969115,1.143029695665e+00
24.051753,1.080167216475e+00
24.134391,1.010485807610e+00
24.217028,9.343328748120e-01
24.299666,8.524302054122e-01
24.382304,7.657415570099e-01
24.464942,6.752767750578e-01
24.547579,5.818777291812e-01
24.630217,4.860408564557e-01
24.712855,3.878286458732e-01
24.795492,2.869033509687e-01
24.878130,1.826816493699e-01
24.960768,7.456992761895e-02
25.043406,3.779756419762e-02
25.126043,1.543401873789e-01
25.208681,2.744994897450e-01
25.291319,3.972468095159e-01
25.373957,5.212545325972e-01
25.456594,6.451237273343e-01
25.539232,7.676365810922e-01
25.621870,8.879776855232e-01
25.704508,1.005872684923e+00
25.787145,1.121604215144e+00
25.869783,1.235887392806e+00
25.952421,1.349620529065e+00
26.035058,1.463564843869e+00
26.117696,1.578035882867e+00
26.200334,1.692693784870e+00
26.282972,1.806493599908e+00
26.365609,1.917810237335e+00
26.448247,2.024705003095e+00
26.530885,2.125268740247e+00
26.613523,2.217965646635e+00
26.696160,2.301907615739e+00
26.778798,2.377004562773e+00
26.861436,2.443957501077e+00
26.944073,2.504087362229e+00
27.026711,2.559023540998e+00
27.109349,2.610308860823e+00
27.191987,2.659005308556e+00
27.274624,2.705398262473e+00
27.357262,2.748883354084e+00
27.439900,2.788070137244e+00
27.522538,2.821068232825e+00
27.605175,2.845873692167e+00
27.687813,2.860761849461e+00
27.770451,2.864605662424e+00
27.853088,2.857062496134e+00
27.935726,2.838601011808e+00
28.018364,2.810369376921e+00
28.101002,2.773934125467e+00
28.183639,2.730943809453e+00
28.266277,2.682789402920e+00
28.348915,2.630338115751e+00
28.431553,2.573803097022e+00
28.514190,2.512778228050e+00
28.596828,2.446423459707e+00
28.679466,2.373746894531e+00
28.762104,2.293908544679e+00
28.844741,2.206472341023e+00
28.927379,2.111552927749e+00
29.010017,2.009832697194e+00
29.092654,1.902453958947e+00
29.175292,1.790816156479e+00
29.257930,1.676326367405e+00
29.340568,1.560161111073e+00
29.423205,1.443096064839e+00
29.505843,1.325445225055e+00
29.588481,1.207123224156e+00
29.671119,1.087810684872e+00
29.753756,9.671740404217e-01
29.836394,8.450786178585e-01
29.919032,7.217404916910e-01
30.001669,5.977838511196e-01
30.084307,4.741971597532e-01
30.166945,3.522050101971e-01
30.249583,2.330890405380e-01
30.332220,1.180004499687e-01
30.414858,7.913137598421e-03
30.497496,9.705985987275e-02
30.580134,1.964004883171e-01
30.662771,2.904129221043e-01
30.745409,3.793583001388e-01
30.828047,4.634170537005e-01
30.910684,5.425273852392e-01
30.993322,6.163007887380e-01
31.075960,6.840342378596e-01
31.158598,7.448108750125e-01
31.241235,7.976580223470e-01
31.323873,8.417201737288e-01
31.406511,8.764053043523e-01
31.489149,9.014719448485e-01
31.571786,9.170384675989e-01
31.654424,9.235126167257e-01
31.737062,9.214568539262e-01
31.819699,9.114212388731e-01
31.902337,8.937863145969e-01
31.984975,8.686589624534e-01
32.067613,8.358515270976e-01
32.150250,7.949509576500e-01
32.232888,7.454582029938e-01
32.315526,6.869585207405e-01
32.398164,6.192770803356e-01
32.480801,5.425813045253e-01
32.563439,4.574070871836e-01
32.646077,3.646045986728e-01
32.728715,2.652167502047e-01
32.811352,1.603177545939e-01
32.893990,5.085752250573e-02
32.976628,6.257622919613e-02
33.059265,1.795100181997e-01
33.141903,2.999713067009e-01
33.224541,4.240806615402e-01
33.307179,5.519653571946e-01
33.389816,6.835624914882e-01
33.472454,8.184714869961e-01
33.555092,9.558903362805e-01
33.637730,1.094651604443e+00
33.720367,1.233347893755e+00
33.803005,1.370515527798e+00
33.885643,1.504833561758e+00
33.968280,1.635293007364e+00
34.050918,1.761297164072e+00
34.133556,1.882667149449e+00
34.216194,1.999546187115e+00
34.298831,2.112219795229e+00
34.381469,2.220892061450e+00
34.464107,2.325473701179e+00
34.546745,2.425438813088e+00
34.629382,2.519791593054e+00
34.712020,2.607155847374e+00
34.794658,2.685968315752e+00
34.877295,2.754731497230e+00
34.959933,2.812268885584e+00
35.042571,2.857926089764e+00
35.125209,2.891672709578e+00
35.207846,2.914078838010e+00
35.290484,2.926164129079e+00
35.373122,2.929144113205e+00
35.455760,2.924124012116e+00
35.538397,2.911808364555e+00
35.621035,2.892297753468e+00
35.703673,2.865026985161e+00
35.786311,2.828864549578e+00
35.868948,2.782351565976e+00
35.951586,2.724023782224e+00
36.034224,2.652743166313e+00
36.116861,2.567969182681e+00
36.199499,2.469919988820e+00
36.282137,2.359601116766e+00
36.364775,2.238700867728e+00
36.447412,2.109363802340e+00
36.530050,1.973871482521e+00
36.612688,1.834289383126e+00
36.695326,1.692158845144e+00
36.777963,1.548307278125e+00
36.860601,1.402823365846e+00
36.943239,1.255204185778e+00
37.025876,1.104636274604e+00
37.108514,9.503372619045e-01
37.191152,7.918726206727e-01
37.273790,6.293766258522e-01
37.356427,4.636393814226e-01
37.439065,2.960629241951e-01
37.521703,1.285888872457e-01
37.604341,3.898708752940e-02
37.686978,1.998102879909e-01
37.769616,3.561932469672e-01
37.852254,5.060854602833e-01
37.934891,6.488532627889e-01
38.017529,7.843889463062e-01
38.100167,9.129226394564e-01
38.182805,1.034793586701e+00
38.265442,1.150213967567e+00
38.348080,1.259082313363e+00
38.430718,1.360892527260e+00
38.513356,1.454757446996e+00
38.595993,1.539534435181e+00
38.678631,1.614015725792e+00
38.761269,1.677134498789e+00
38.843907,1.728139163127e+00
38.926544,1.766699581388e+00
39.009182,1.792925710138e+00
39.091820,1.807298010127e+00
39.174457,1.810527469413e+00
39.257095,1.803378560743e+00
39.339733,1.786497656528e+00
39.422371,1.760289055888e+00
39.505008,1.724869302805e+00
39.587646,1.680109967226e+00
39.670284,1.625755428080e+00
39.752922,1.561582968071e+00
39.835559,1.487563366850e+00
39.918197,1.403982705040e+00
40.000835,1.311497836477e+00
40.083472,1.211114588479e+00
40.166110,1.104095046773e+00
40.248748,9.918152908293e-01
40.331386,8.756056538686e-01
40.414023,7.566102807642e-01
40.496661,6.356997958894e-01
40.579299,5.134593801762e-01
40.661937,3.902557956101e-01
40.744574,2.663654234119e-01
40.827212,1.421282787645e-01
40.909850,1.810013011668e-02
40.992487,1.049532990685e-01
41.075125,2.258436465159e-01
41.157763,3.432455190738e-01
41.240401,4.556935939635e-01
41.323038,5.617621523500e-01
41.405676,6.602107448278e-01
41.488314,7.500949119172e-01
41.570952,8.308168592473e-01
41.653589,9.021035014869e-01
41.736227,9.639150102800e-01
41.818865,1.016304014023e+00
41.901503,1.059259890325e+00
41.984140,1.092579158113e+00
42.066778,1.115798072890e+00
42.149416,1.128207317942e+00
42.232053,1.128946128291e+00
42.314691,1.117151959034e+00
42.397329,1.092128490909e+00
42.479967,1.053492061389e+00
42.562604,1.001263288765e+00
42.645242,9.358834606309e-01
42.727880,8.581509244898e-01
42.810518,7.690888755208e-01
42.893155,6.697707997190e-01
42.975793,5.611413394245e-01
43.058431,4.438756184244e-01
43.141068,3.183161588789e-01
43.223706,1.845155670162e-01
43.306344,4.255252239846e-02
43.388982,1.086539604934e-01
43.471619,2.676791757821e-01
43.554257,4.346071532153e-01
43.636895,6.083649266578e-01
43.719533,7.874404190458e-01
43.802170,9.699621216890e-01
43.884808,1.153886733052e+00
43.967446,1.337228533481e+00
44.050083,1.518283517649e+00
44.132721,1.695803049666e+00
44.215359,1.869078804034e+00
44.297997,2.037914912225e+00
44.380634,2.202484593278e+00
44.463272,2.363094706150e+00
44.545910,2.519906815743e+00
44.628548,2.672679231181e+00
44.711185,2.820593774016e+00
44.793823,2.962211902536e+00
44.876461,3.095572839199e+00
44.959098,3.218412107504e+00
45.041736,3.328452675949e+00
45.124374,3.423708627932e+00
45.207012,3.502743858287e+00
45.289649,3.564842600301e+00
45.372287,3.610066652818e+00
45.454925,3.639187063079e+00
45.537563,3.653490844752e+00
45.620200,3.654491028729e+00
45.702838,3.643601498248e+00
45.785476,3.621850807899e+00
45.868114,3.589697774314e+00
45.950751,3.546986798836e+00
46.033389,3.493048975590e+00
46.116027,3.426921813308e+00
46.198664,3.347634625897e+00
46.281302,3.254495479896e+00
46.363940,3.147320453305e+00
46.446578,3.026562937749e+00
46.529215,2.893323664566e+00
